Messstelle:                ;Frauenhofen
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-WT/im Jun und Jul zeitweise Datenausfall
   01.01.2019    31.12.2019;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-W/vom 20. Okt bis 22. Dez Aufstau durch Biber
   01.01.2020    31.12.2020;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Dez durch Eis beeinflusst

